t	F18
0	10000000
0.01	9962121
0.02	9924846
0.03	9887034
0.04	9849589
0.05	9812298
0.06	9775117
0.07	9738295
0.08	9701796
0.09	9665025
0.1	9628584
0.11	9592427
0.12	9555870
0.13	9519638
0.14	9483611
0.15	9447565
0.16	9411526
0.17	9375955
0.18	9340405
0.19	9304823
0.2	9269374
0.21	9234291
0.22	9199183
0.23	9164242
0.24	9129732
0.25	9095263
0.26	9060570
0.27	9025942
0.28	8991899
0.29	8957945
0.3	8923702
0.31	8889737
0.32	8855840
0.33	8822278
0.34	8788690
0.35	8755041
0.36	8721959
0.37	8688830
0.38	8655963
0.39	8623060
0.4	8590287
0.41	8557781
0.42	8525240
0.43	8493225
0.44	8460957
0.45	8428833
0.46	8396694
0.47	8364858
0.48	8333219
0.49	8301658
0.5	8270497
0.51	8239183
0.52	8208049
0.53	8177102
0.54	8145849
0.55	8114922
0.56	8083956
0.57	8053388
0.58	8023070
0.59	7992304
0.6	7961987
0.61	7931358
0.62	7901578
0.63	7871528
0.64	7841480
0.65	7811891
0.66	7782165
0.67	7752554
0.68	7723324
0.69	7693994
0.7	7664814
0.71	7635574
0.72	7606510
0.73	7577723
0.74	7548422
0.75	7519894
0.76	7491373
0.77	7463148
0.78	7434810
0.79	7406871
0.8	7378733
0.81	7350766
0.82	7322730
0.83	7294857
0.84	7267251
0.85	7239842
0.86	7212572
0.87	7185252
0.88	7157931
0.89	7130804
0.9	7103633
0.91	7076586
0.92	7049726
0.93	7023079
0.94	6996246
0.95	6969853
0.96	6943566
0.97	6917372
0.98	6890861
0.99	6864287
1	6838308
1.01	6812619
1.02	6786494
1.03	6760846
1.04	6735300
1.05	6709704
1.06	6684397
1.07	6658910
1.08	6633362
1.09	6608007
1.1	6583172
1.11	6558372
1.12	6533350
1.13	6508692
1.14	6484029
1.15	6459223
1.16	6434438
1.17	6410265
1.18	6385941
1.19	6361719
1.2	6337369
1.21	6313275
1.22	6289652
1.23	6265711
1.24	6242395
1.25	6218780
1.26	6195273
1.27	6171638
1.28	6148344
1.29	6125092
1.3	6102089
1.31	6078648
1.32	6055608
1.33	6032698
1.34	6009758
1.35	5986966
1.36	5964206
1.37	5941651
1.38	5919214
1.39	5897028
1.4	5874869
1.41	5852280
1.42	5830262
1.43	5808237
1.44	5786485
1.45	5764403
1.46	5742497
1.47	5720537
1.48	5698908
1.49	5677139
1.5	5655449
1.51	5634178
1.52	5612952
1.53	5591573
1.54	5570360
1.55	5549123
1.56	5528277
1.57	5507427
1.58	5486701
1.59	5465989
1.6	5445425
1.61	5424738
1.62	5404007
1.63	5383558
1.64	5363071
1.65	5342491
1.66	5322286
1.67	5302081
1.68	5282069
1.69	5262266
1.7	5242414
1.71	5222482
1.72	5202581
1.73	5182803
1.74	5163202
1.75	5143658
1.76	5124421
1.77	5104996
1.78	5085441
1.79	5066118
1.8	5047101
1.81	5028049
1.82	5008950
1.83	4989898
1.84	4970894
1.85	4952224
1.86	4933562
1.87	4915081
1.88	4896512
1.89	4878061
1.9	4859611
1.91	4841128
1.92	4822893
1.93	4804552
1.94	4786178
1.95	4768002
1.96	4750033
1.97	4732115
1.98	4714269
1.99	4696478
2	4678674
2.01	4660897
2.02	4643378
2.03	4625863
2.04	4608092
2.05	4590559
2.06	4572928
2.07	4555639
2.08	4538010
2.09	4520863
2.1	4503759
2.11	4486303
2.12	4469333
2.13	4452409
2.14	4435283
2.15	4418280
2.16	4401401
2.17	4384748
2.18	4368144
2.19	4351508
2.2	4335098
2.21	4318529
2.22	4302117
2.23	4286114
2.24	4269824
2.25	4253717
2.26	4237595
2.27	4221586
2.28	4205467
2.29	4189605
2.3	4173677
2.31	4157771
2.32	4142071
2.33	4126322
2.34	4111043
2.35	4095536
2.36	4080288
2.37	4064796
2.38	4049457
2.39	4033860
2.4	4018543
2.41	4003528
2.42	3988177
2.43	3973082
2.44	3957961
2.45	3942994
2.46	3928083
2.47	3913069
2.48	3898247
2.49	3883473
2.5	3868678
2.51	3853987
2.52	3839289
2.53	3824783
2.54	3810332
2.55	3795839
2.56	3781525
2.57	3767096
2.58	3752825
2.59	3738740
2.6	3724657
2.61	3710775
2.62	3696801
2.63	3682775
2.64	3668946
2.65	3655053
2.66	3641181
2.67	3627542
2.68	3614019
2.69	3600387
2.7	3586719
2.71	3573177
2.72	3559604
2.73	3546184
2.74	3532581
2.75	3519196
2.76	3505753
2.77	3492469
2.78	3479336
2.79	3466289
2.8	3453162
2.81	3439924
2.82	3426680
2.83	3413701
2.84	3400786
2.85	3387814
2.86	3375110
2.87	3362459
2.88	3349770
2.89	3337272
2.9	3324549
2.91	3311944
2.92	3299607
2.93	3286961
2.94	3274416
2.95	3262117
2.96	3249827
2.97	3237500
2.98	3225086
2.99	3212833
3	3200668
3.01	3188599
3.02	3176485
3.03	3164302
3.04	3152234
3.05	3140205
3.06	3128162
3.07	3116295
3.08	3104461
3.09	3092779
3.1	3081219
3.11	3069497
3.12	3057946
3.13	3046306
3.14	3034946
3.15	3023287
3.16	3011941
3.17	3000401
3.18	2989157
3.19	2977807
3.2	2966625
3.21	2955316
3.22	2944103
3.23	2933006
3.24	2921859
3.25	2910931
3.26	2899772
3.27	2888811
3.28	2877903
3.29	2867024
3.3	2856198
3.31	2845576
3.32	2834745
3.33	2824010
3.34	2813370
3.35	2802849
3.36	2792395
3.37	2781890
3.38	2771377
3.39	2760809
3.4	2750161
3.41	2739718
3.42	2729322
3.43	2718896
3.44	2708500
3.45	2698095
3.46	2687824
3.47	2677582
3.48	2667564
3.49	2657458
3.5	2647370
3.51	2637266
3.52	2627299
3.53	2617225
3.54	2607340
3.55	2597463
3.56	2587527
3.57	2577731
3.58	2567958
3.59	2558185
3.6	2548569
3.61	2538919
3.62	2529130
3.63	2519493
3.64	2509858
3.65	2500279
3.66	2490724
